Document_ID,Document Name,Summary,Rule(s),Filed by,Response Allowed,Modifier?,Response ID,Response,Rule,Time to Respond
CFILE,Request for Corrected Filing Receipt,"After PTO receives non provisional app they require verification of accuracy of data presented ion recetipt (ie to ensure there are no typos). Response is dependent on other factors: if there is an error in this doc, submit written request for a corrected filing reeipt with a properly marked ADS. If also a notifce to file missing parts or other notice requiring response, submit request for correction with reply to the notice",,PTO,Yes,Yes,,Request for a corrected filing receipt & ADS,,
CTNF,Non-Final Rejection,"What we usually call an ""Office Action"". Gives claim by claim analysis of rejected claims with analysis by examiner. Generally applicant will respond to claims either by amending them or through other method of disagreeing with examiner's analysis",,PTO,Yes,,REM ,Applicant Arguments/Remarks Made in an Amendment; or A... Amendment/Request for Reconsideration-After Non-Final Rejection,"Most replies to Office actions (official letters) must be received within 6 months from the mailing date on the Office action. Office actions in almost all instances set a shortened period within which a response can be filed without having to pay extension of time fees. The shortened period is typically either two or three months, depending on the type of Office action. In certain circumstances, the Office action will specify a different response period. There are no extensions beyond the 6-month statutory time period for reply other than notices that do not have a statutory time period for reply. If an applicant does not submit an acceptable timely response to an Office action, the application will be held abandoned.",6 months from Mail Date. Usually doc states shorter period of 2 or 3 months from mail date
N417.PYMT,Electronic Fee Payment,"Just a receipt. May relate to filing, RCE, etc... Should be tied to other doc",,PTO,No,,,,,
ELC.,Response to Election / Restriction Filed,"May include either response to electrion or restriction filed in response to an office action, which generally means claims have been amended. After claims are amended it will trigger additional revuew",,Applicant,N/A,,,,,
NOA,Notice of Allowance and Fees Due (PTOL-85),Tells you that the patent is granted. Must pay fees within 3 months from mailing date,,PTO,Yes,,,"Issue Fee Payment (PTO-85B), ","Applicant has THREE MONTHS FROM THE ""MAILING DATE"" to file a reply (ie payment of fee). No extension available",3 months from mailing date
CTRS,Requirement for Restriction/Election,"If the Examiner believes that more than one patently distinct invention is claimed, the Examiner can issue a restriction requirement. To respond to a restriction requirement, one invention must be elected. The election of the invention may be done with traverse (arguing that the restriction is improper).",37 CFR 1.475(a),PTO,Yes,,ELC.,Response to Election / Restriction Filed,2 Months from Mailing Date. Extension available under 37 CFR 1.136(a),2 Months from Mailing Date
CTEQ,Ex Parte Quayle Action,"issued when there are minor issues to be resolved in a patent application that is otherwise in condition for allowance. Prosecution on the merits is closed, meaning that substantive examination has concluded.",,PTO,Yes,,A.QU,Response after Ex Parte Quayle Action,,2 Months from Mailing Date
NT.INC.REPLY,Notice of Incomplete Reply,Notice to submit items that were supposed to be in previous reply,,PTO,Yes,Yes,,[Document Specific],,[Continues to run from date of related submission] 
M905,Notice of DO/EO Missing Requirements Mailed,Notice from PTO that there are documents missing that are required to keep application active,,PTO,Yes,Yes,,[Document Specific],,2 months from date of notice or 32 months from priority date. Whichever is later
NTC.MISS.PRT,Notice to File Missing Parts,Required to avoid abandonment. Relates to set of docs that are usually included with initial filing. Allows 2 months to respond,,PTO,Yes,Yes,,[Document Specific],,2 Months from Mailing Date
